1901 Entries,Remarks
"③ 丸 • まる.い, まる.める, まる, ガン • round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away",
"③ 才 • サイ • genius, years old, cubic shaku",
"③ 王 • -ノウ, オウ • king, rule, magnate",
"③ 化 • け.する, ふ.ける, ば.かす, ば.ける, ケ, カ • change, take the form of, influence, enchant, delude, -ization",
"③ 区 • コウ, オウ, ク • ward, district",
"③ 欠 • か.く, か.ける, ケン, ケツ • lack, gap, fail",
"③ 戸 • と, コ • door, counter for houses",
"③ 太 • ふと.る, ふと.い, タ, タイ • plump, thick, big around",
"③ 内 • うち, ダイ, ナイ • inside, within, between, among, house, home",
"③ 反 • -かえ.る, かえ.る, かえ.す, そ.らす, そ.る, ホ, タン, ホン, ハン • anti-",
"③ 毛 • け, モウ • fur, hair, feather, down",
"③ 予 • あらかじ.め, シャ, ヨ • beforehand, previous, myself, I",
"③ 央 • オウ • center, middle",
"③ 加 • くわ.わる, くわ.える, カ • add, addition, increase, join, include, Canada",
"③ 旧 • もと, ふる.い, キュウ • old times, old things, old friend, former, ex-",
"③ 玉 • -だま, たま-, たま, ギョク • jewel, ball",
"③ 号 • よびな, さけ.ぶ, ゴウ • nickname, number, item, title, pseudonym, name, call",
"③ 皿 • さら, ベイ • dish, a helping, plate",
"③ 市 • いち, シ • market, city, town",
"③ 申 • さる, もう.し-, もう.す, シン • have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac",
"③ 石 • いし, コク, シャク, セキ • stone",
"③ 他 • ほか, タ • other, another, the others",
"③ 打 • ぶ.つ, う.ち-, う.つ, ダアス, ダ • strike, hit, knock, pound, dozen",
"③ 犯 • おか.す, ボン, ハン • crime, sin, offense",
"③ 皮 • かわ, ヒ • pelt, skin, hide, leather",
"③ 氷 • こお.る, ひ, こおり, ヒョウ • icicle, ice, hail, freeze, congeal",
"③ 平 • ひら-, ひら, -だいら, たい.ら, ヒョウ, ビョウ, ヘイ • even, flat, peace",
"③ 辺 • -べ, ほと.り, あた.り, ヘン • environs, boundary, border, vicinity",
"③ 由 • よ.る, よし, ユイ, ユウ, ユ • wherefore, a reason",
"③ 礼 • ライ, レイ • salute, bow, ceremony, thanks, remuneration",
"③ 羽 • はね, わ, は, ウ • feathers, counter for birds, rabbits",
"③ 回 • か.える, もとお.る, -まわ.し, まわ.し-, -まわ.す, まわ.す, -まわ.り, -まわ.る, まわ.る, エ, カイ • -times, round, game, revolve, counter for occurrences",
"③ 曲 • ま.げる, ま.がる, キョク • bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean",
"③ 血 • ち, ケツ • blood",
"③ 交 • こもごも, かわ.す, か.わす, -か.う, ま.ぜる, ま.ざる, まじ.る, ま.じる, まじ.える, まじ.わる, コウ • mingle, mixing, association, coming & going",
"③ 光 • ひかり, ひか.る, コウ • ray, light",
"③ 向 • むか.い, むこ, む.こう-, む.こう, む.かい, む.かう, -む.け, む.ける, -む.き, む.い, む.く, コウ • yonder, facing, beyond, confront, defy, tend toward, approach",
"③ 考 • かんが.え, かんが.える, コウ • consider, think over",
"③ 合 • -あ.わせる, あ.わせる, あ.わす, -あい, -あ.い, あい-, あ.い, -あ.う, あ.う, カッ, ガッ, ゴウ • fit, suit, join, one tenth",
"③ 糸 • いと, シ • thread",
"③ 寺 • てら, ジ • Buddhist temple",
"③ 次 • つぎ, つ.ぐ, シ, ジ • next, order, sequence",
"③ 耳 • みみ, ジ • ear",
"③ 式 • シキ • style, ceremony, rite, function, method, system, form, expression",
"③ 守 • かみ, -もり, もり, まも.り, まも.る, ス, シュ • guard, protect, defend, obey",
"③ 州 • す, ス, シュウ • state, province",
"③ 全 • すべ.て, まった.く, ゼン • whole, entire, all, complete, fulfill",
"③ 池 • いけ, チ • pond, cistern, pool, reservoir",
"③ 竹 • たけ, チク • bamboo",
"③ 虫 • むし, キ, チュウ • insect, bug, temper",
"③ 伝 • つて, -づた.い, つだ.う, つた.う, つた.える, つた.わる, テン, デン • transmit, go along, walk along, follow, report, communicate, legend, tradition",
"③ 当 • まさ.にべし, まさ.に, あ.て, あ.てる, あ.たり, あ.たる, トウ • hit, right, appropriate, himself",
"③ 米 • よね, こめ, メエトル, マイ, ベイ • rice, USA, metre",
"③ 両 • ふたつ, てる, リョウ • both, old Japanese coin, counter for carriages (e.g., in a train), two",
"③ 列 • レ, レツ • file, row, rank, tier, column",
"③ 快 • こころよ.い, カイ • cheerful, pleasant, agreeable, comfortable",
"③ 貝 • かい, バイ • shellfish",
"③ 角 • つの, かど, カク • angle, corner, square, horn, antlers",
"③ 求 • もと.める, グ, キュウ • request, want, wish for, require, demand",
"③ 究 • きわ.める, ク, キュウ • research, study",
"③ 局 • つぼね, キョク • bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment",
"③ 君 • -ぎみ, きみ, クン • old boy, name-suffix",
"③ 形 • なり, かたち, -がた, かた, ギョウ, ケイ • shape, form, style",
"③ 決 • さ.く, き.まる, -ぎ.め, き.める, ケツ • decide, fix, agree upon, appoint",
"③ 坂 • さか, ハン • slope, incline, hill",
"③ 助 • すけ, す.ける, たす.かる, たす.ける, ジョ • help, rescue, assist",
"③ 身 • み, シン • somebody, person, one's station in life",
"③ 声 • こわ-, こえ, ショウ, セイ • voice",
"③ 村 • むら, ソン • village, town",
"③ 対 • むか.う, なら.ぶ, つれあ.い, そろ.い, こた.える, あいて, ツイ, タイ • vis-a-vis, opposite, even, equal, versus, anti-, compare",
"③ 谷 • きわ.まる, たに, コク • valley",
"③ 低 • ひく.まる, ひく.める, ひく.い, テイ • lower, short, humble",
"③ 投 • -な.げ, な.げる, トウ • throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss",
"③ 麦 • むぎ, バク • barley, wheat",
"③ 返 • -かえ.る, かえ.る, -かえ.す, かえ.す, ヘン • return, answer, fade, repay",
"③ 防 • ふせ.ぐ, ボウ • ward off, defend, protect, resist",
"③ 役 • エキ, ヤク • duty, war, campaign, drafted labor, office, service, role",
"③ 委 • ゆだ.ねる, イ • committee, entrust to, leave to, devote, discard",
"③ 易 • やす.い, やさ.しい, イ, エキ • easy, ready to, simple, fortune-telling, divination",
"③ 育 • はぐく.む, そだ.てる, そだ.ち, そだ.つ, イク • bring up, grow up, raise, rear",
"③ 泳 • およ.ぐ, エイ • swim",
"③ 岸 • きし, ガン • beach",
"③ 岩 • いわ, ガン • boulder, rock, cliff",
③ 季 • キ • seasons,
"③ 泣 • な.く, キュウ • cry, weep, moan",
"③ 協 • キョウ • co-, cooperation",
"③ 苦 • にが.る, にが.い, くる.しめる, くる.しむ, -ぐる.しい, くる.しい, ク • suffering, trial, worry, hardship, feel bitter, scowl",
"③ 具 • つぶさ.に, そな.える, グ • tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture",
"③ 幸 • しあわ.せ, さち, さいわ.い, コウ • happiness, blessing, fortune",
"③ 参 • みつ, まじわる, まい-, まい.る, シン, サン • nonplussed, three, going, coming, visiting, visit, be defeated, die, be madly in love",
"③ 実 • みち.る, みの, まことに, まこと, みの.る, み, シツ, ジツ • reality, truth",
"③ 取 • -ど.り, とり, と.り-, と.り, と.る, シュ • take, fetch, take up",
"③ 受 • う.かる, -う.け, う.ける, ジュ • accept, undergo, answer (phone), take, get, catch, receive",
"③ 所 • とこ, どころ, -ところ, ところ, ショ • place",
"③ 昔 • むかし, シャク, セキ • once upon a time, antiquity, old times",
"③ 直 • す.ぐ, なお.き, なお.る, -なお.す, なお.す, ただ.ちに, ジカ, ジキ, チョク • straightaway, honesty, frankness, fix, repair",
"③ 定 • さだ.か, さだ.まる, さだ.める, ジョウ, テイ • determine, fix, establish, decide",
"③ 的 • まと, テキ • bull's eye, mark, target, object, adjective ending",
"③ 波 • なみ, ハ • waves, billows, Poland",
"③ 板 • いた, バン, ハン • plank, board, plate, stage",
"③ 表 • あら.わす, あらわ.れる, あらわ.す, -おもて, おもて, ヒョウ • surface, table, chart, diagram",
"③ 物 • もの-, もの, モツ, ブツ • thing, object, matter",
"③ 放 • ほう.る, こ.く, はな.れる, はな.つ, -っぱな.し, はな.す, ホウ • set free, release, fire, shoot, emit, banish, liberate",
"③ 命 • いのち, ミョウ, メイ • fate, command, decree, destiny, life, appoint",
"③ 明 • あ.かす, あ.くる, あ.く, -あ.け, あ.ける, あき.らか, あか.らむ, あか.るむ, あか.るい, あ.かり, ミン, ミョウ, メイ • bright, light",
"③ 門 • と, かど, モン • gate, counter for cannons",
"③ 夜 • よる, よ, ヤ • night, evening",
"③ 油 • あぶら, ユウ, ユ • oil, fat",
"③ 林 • はやし, リン • grove, forest",
"③ 例 • たと.える, レイ • example, custom, usage, precedent",
"③ 和 • なご.やか, なご.む, やわ.らげる, やわ.らぐ, カ, オ, ワ • harmony, Japanese style, peace, soften, Japan",
"③ 科 • カ • department, course, section",
"③ 活 • い.ける, い.かす, い.きる, カツ • lively, resuscitation, being helped, living",
"③ 客 • カク, キャク • guest, visitor, customer, client",
"③ 逆 • さか.らう, さか.さ, さか, ゲキ, ギャク • inverted, reverse, opposite, wicked",
"③ 係 • かか.わる, -がかり, かかり, かか.る, ケイ • person in charge, connection, duty, concern oneself",
"③ 型 • -がた, かた, ケイ • mould, type, model",
"③ 県 • か.ける, ケン • prefecture",
"③ 昨 • サク • yesterday, previous",
"③ 指 • -さ.し, さ.す, ゆび, シ • finger, point to, indicate, put into, play (chess), measure (ruler)",
"③ 首 • くび, シュ • neck, counter for songs and poems",
"③ 拾 • ひろ.う, ジュウ, シュウ • pick up, gather, find, go on foot, ten",
"③ 乗 • の.せる, -の.り, の.る, ショウ, ジョウ • ride, power, multiplication, record, counter for vehicles, board, mount, join",
"③ 神 • こう-, かん-, かみ, ジン, シン • gods, mind, soul",
"③ 星 • -ぼし, ほし, ショウ, セイ • star, spot, dot, mark",
