No.,Kanji
345,"② 希 • まれ, ケ, キ • hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal"
346,"② 技 • わざ, ギ • skill, art, craft, ability, feat, performance, vocation, arts"
347,"② 均 • なら.す, キン • level, average"
348,"② 芸 • わざ, のり, う.える, ウン, ゲイ • technique, art, craft, performance, acting, trick, stunt"
349,"② 迎 • むか.える, ゲイ • welcome, meet, greet"
350,"② 更 • ふ.かす, ふ.ける, さら.に, さら, コウ • grow late, night watch, sit up late, of course"
351,"② 告 • つ.げる, コク • revelation, tell, inform, announce"
352,"② 困 • こま.る, コン • quandary, become distressed, annoyed"
353,"② 材 • ザイ • lumber, log, timber, wood, talent"
354,"② 伺 • うかが.う, シ • pay respects, visit, ask, inquire, question, implore"
355,"② 似 • ひ.る, に.る, ジ • becoming, resemble, counterfeit, imitate, suitable"
356,"② 児 • -っこ, -こ, こ, ゲイ, ニ, ジ • newborn babe, child, young of animals"
357,"② 初 • -ぞ.め, -そ.める, うい-, はつ-, はつ, はじ.めて, はじ.め, ショ • first time, beginning"
358,"② 床 • ゆか, とこ, ショウ • bed, counter for beds, floor, padding, tatami"
359,"② 状 • ジョウ • status quo, conditions, circumstances, form, appearance"
360,"② 伸 • の.す, の.べる, の.ばす, の.びる, シン • expand, stretch, extend, lengthen, increase"
361,"② 臣 • ジン, シン • retainer, subject"
362,"② 辛 • かのと, -づら.い, つら.い, から.い, シン • spicy, bitter, hot, acrid"
363,"② 吹 • ふ.く, スイ • blow, breathe, puff, emit, smoke"
364,"② 折 • お.れる, -お.り, お.り, おり, お.る, セツ • fold, break, fracture, bend, yield, submit"
365,"② 束 • つか.ねる, つか, たば.ねる, たば, ソク • bundle, sheaf, ream, tie in bundles, govern, manage, control"
366,"② 沈 • しず.める, しず.む, ジン, チン • sink, be submerged, subside, be depressed, aloes"
367,"② 努 • つと.める, ド • toil, diligent, as much as possible"
368,"② 抜 • ぬ.かる, ぬ.かす, ぬ.ける, ぬ.き, -ぬ.く, ぬ.く, ハイ, ハツ, バツ • slip out, extract, pull out, pilfer, quote, remove, omit"
369,"② 判 • わか.る, バン, ハン • judgement, signature, stamp, seal"
370,"② 否 • いや, いな, ヒ • negate, no, noes, refuse, decline, deny"
371,"② 兵 • つわもの, ヒョウ, ヘイ • soldier, private, troops, army, warfare, strategy, tactics"
372,"② 坊 • ボッ, ボウ • boy, priest's residence, priest"
373,"② 忘 • わす.れる, ボウ • forget"
374,"② 戻 • もど.る, もど.す, レイ • re-, return, revert, resume, restore, go backwards"
375,"② 余 • あんま.り, あま.す, あま.り, あま.る, ヨ • too much, myself, surplus, other, remainder"
376,"② 乱 • わた.る, おさ.める, みだ, みだ.す, みだ.る, みだ.れる, ロン, ラン • riot, war, disorder, disturb"
377,"② 卵 • たまご, ラン • egg, ovum, spawn, roe"
378,"② 利 • き.く, リ • profit, advantage, benefit"
379,"② 良 • -い.い, い.い, -よ.い, よ.い, リョウ • good, pleasing, skilled"
380,"② 冷 • さ.ます, さ.める, ひ.やかす, ひ.やす, ひ.ややか, ひ.や, ひ.える, つめ.たい, レイ • cool, cold (beer, person), chill"
381,"② 労 • ねぎら.う, つか.れる, ねぎら, いた.ずき, いたわ.る, ろう.する, ロウ • labor, thank for, reward for, toil, trouble"
382,"② 依 • よ.る, エ, イ • reliant, depend on, consequently, therefore, due to"
383,"② 延 • の.ばす, の.べ, の.べる, の.びる, エン • prolong, stretching"
384,"② 押 • おさ.える, お.さえる, お.っ-, お.し-, お.す, オウ • push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of"
385,"② 欧 • は.く, うた.う, オウ • Europe"
386,"② 果 • は.て, -は.てる, は.てる, -は.たす, はた.す, は.たす, カ • fruit, reward, carry out, achieve, complete, end, finish, succeed"
387,"② 河 • かわ, カ • river"
388,"② 官 • カン • bureaucrat, the government"
389,"② 祈 • いの.る, キ • pray, wish"
390,"② 居 • お.る, -い, い.る, コ, キョ • reside, to be, exist, live with"
391,"② 供 • -ども, とも, そな.える, グ, クウ, ク, キョウ • submit, offer, present, serve (meal), accompany"
392,"② 況 • おもむき, いわ.んや, まし.て, キョウ • condition, situation"
393,② 券 • ケン • ticket
394,"② 肩 • かた, ケン • shoulder"
395,"② 呼 • よ.ぶ, コ • call, call out to, invite"
396,"② 固 • かた.い, かた.まり, かた.まる, かた.める, コ • harden, set, clot, curdle"
397,"② 効 • なら.う, ききめ, き.く, コウ • merit, efficacy, efficiency, benefit"
398,"② 肯 • がえんじ.る, コウ • agreement, consent, comply with"
399,"② 刻 • きざ.み, きざ.む, コク • engrave, cut fine, chop, hash, mince, time, carving"
400,"② 妻 • つま, サイ • wife, spouse"
401,"② 刷 • は.く, -ずり, -ず.り, す.る, サツ • printing, print"
402,"② 刺 • とげ, さし, さ.し, さ.さる, さ.す, シ • thorn, pierce, stab, prick, sting, calling card"
403,"② 枝 • えだ, シ • bough, branch, twig, limb, counter for branches"
404,"② 治 • なお.す, なお.る, おさ.まる, おさ.める, チ, ジ • reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve"
405,"② 若 • も.しくは, も.し, も.しくわ, わか-, わか.い, ニャ, ニャク, ジャク • young, if, perhaps, possibly, low number, immature"
406,"② 周 • まわ.り, シュウ • circumference, circuit, lap"
407,"② 述 • の.べる, ジュツ • mention, state, speak, relate"
408,"② 承 • すく.う, つい.で, こ.らす, たす.ける, とど.める, ささ.げる, う.ける, うけたまわ.る, ジョウ, ショウ • acquiesce, hear, listen to, be informed, receive"
409,"② 招 • まね.く, ショウ • beckon, invite, summon, engage"
410,"② 昇 • のぼ.る, ショウ • rise up"
411,"② 制 • セイ • system, law, rule"
412,"② 姓 • ショウ, セイ • surname"
413,"② 性 • さが, ショウ, セイ • sex, gender, nature"
414,"② 卒 • にわか, ついに, お.わる, お.える, そっ.する, シュツ, ソツ • graduate, soldier, private, die"
415,"② 担 • にな.う, かつ.ぐ, タン • shouldering, carry, raise, bear"
416,"② 底 • そこ, テイ • bottom, sole, depth, bottom price, base, kind, sort"
417,"② 泥 • どろ, ニ, デ, ナイ, デイ • mud, mire, adhere to, be attached to"
418,"② 到 • いた.る, トウ • arrival, proceed, reach, attain, result in"
419,"② 毒 • ドク • poison, virus, venom, germ, harm, injury, spite"
420,"② 突 • つ.く, カ, トツ • stab, protruding, thrusting, thrust, pierce, prick"
421,"② 届 • とど.く, -とど.け, とど.ける, カイ • deliver, reach, arrive, report, notify, forward"
422,"② 乳 • ち, ちち, ニュウ • milk, breasts"
423,"② 念 • ネン • wish, sense, idea, thought, feeling, desire, attention"
424,"② 拝 • おろが.む, おが.む, ハイ • worship, adore, pray to"
425,"② 杯 • さかずき, ハイ • counter for cupfuls, wine glass, glass, toast"
426,"② 泊 • と.める, と.まる, ハク • overnight, put up at, ride at anchor, 3-day stay"
427,"② 版 • ハン • printing block, printing plate, edition, impression, label"
428,"② 彼 • か.の, かの, かれ, ヒ • he, that, the"
429,"② 非 • あら.ず, ヒ • un-, mistake, negative, injustice, non-"
430,"② 府 • フ • borough, urban prefecture, govt office, representative body, storehouse"
431,"② 怖 • おそ.れる, お.じる, こわ.がる, こわ.い, ホ, フ • dreadful, be frightened, fearful"
432,"② 武 • たけ.し, ム, ブ • warrior, military, chivalry, arms"
433,"② 沸 • わ.かす, わ.く, フツ • seethe, boil, ferment, uproar, breed"
434,"② 並 • なら.びに, なら.ぶ, なら.べる, な.み, ホウ, ヘイ • row, and, besides, as well as, line up, rank with, rival, equal"
435,"② 宝 • たから, ホウ • treasure, wealth, valuables"
436,"② 抱 • かか.える, いだ.く, だ.く, ホウ • embrace, hug, hold in arms"
437,"② 法 • のり, フラン, ホッ, ハッ, ホウ • method, law, rule, principle, model, system"
438,"② 枚 • バイ, マイ • sheet of..., counter for flat thin objects or sheets"
439,"② 胃 • イ • stomach, paunch, crop, craw"
440,"② 栄 • え, は.える, -ば.え, は.え, さか.える, ヨウ, エイ • flourish, prosperity, honor, glory, splendor"
441,"② 皆 • みんな, みな, カイ • all, everything"
442,"② 革 • かわ, カク • leather, become serious, skin, hide, pelt"
443,"② 巻 • ま.き, まき, ま.く, ケン, カン • scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)"
444,"② 挟 • さしはさ.む, わきばさ.む, はさ.まる, はさ.む, ショウ, キョウ • pinch, between"
445,"② 軍 • グン • army, force, troops, war, battle"
446,"② 限 • -かぎ.り, かぎ.り, かぎ.る, ゲン • limit, restrict, to best of ability"
447,"② 枯 • か.らす, か.れる, コ • wither, die, dry up, be seasoned"
448,"② 厚 • あか, あつ.い, コウ • thick, heavy, rich, kind, cordial, brazen, shameless"
449,"② 紅 • あか.い, くれない, べに, ク, コウ • crimson, deep red"
450,"② 荒 • すさ.む, -あ.らし, あ.らす, あ.れる, あら-, あら.い, コウ • laid waste, rough, rude, wild"
451,"② 郊 • コウ • outskirts, suburbs, rural area"
452,"② 香 • かお.る, かお.り, か, キョウ, コウ • incense, smell, perfume"
453,② 査 • サ • investigate
454,"② 砂 • すな, シャ, サ • sand"
455,"② 咲 • -ざき, さ.く, ショウ • blossom, bloom"
456,"② 柔 • やわ.ら, やわ, やわ.らかい, やわ.らか, ニュウ, ジュウ • tender, weakness, gentleness, softness"
457,"② 祝 • いわ.う, シュウ, シュク • celebrate, congratulate"
458,"② 省 • はぶ.く, かえり.みる, ショウ, セイ • focus, government ministry, conserve"
459,"② 城 • しろ, ジョウ • castle"
460,"② 信 • シン • faith, truth, fidelity, trust"
461,"② 政 • まん, まつりごと, ショウ, セイ • politics, government"
462,"② 専 • もっぱ.ら, セン • specialty, exclusive, mainly, solely"
463,"② 泉 • いずみ, セン • spring, fountain"
464,"② 浅 • あさ.い, セン • shallow, superficial, frivolous, wretched, shameful"
465,"② 洗 • あら.う, セン • wash, inquire into, probe"
466,"② 祖 • ソ • ancestor, pioneer, founder"
467,"② 則 • のっと.る, ソク • rule, follow, based on, model after"
468,"② 段 • タン, ダン • grade, steps, stairs"
469,"② 珍 • たから, めずら.しい, チン • rare, curious, strange"
470,"② 怒 • おこ.る, いか.る, ヌ, ド • angry, be offended"
471,"② 逃 • のが.れる, のが.す, に.がす, に.げる, トウ • escape, flee, shirk, evade, set free"
472,"② 背 • そむ.ける, そむ.く, せい, せ, ハイ • stature, height, back, behind, disobey, defy, go back on, rebel"
473,"② 封 • ホウ, フウ • seal, closing"
474,"② 変 • か.える, か.わり, か.わる, ヘン • unusual, change, strange"
475,"② 便 • たよ.り, ビン, ベン • convenience"
476,"② 約 • ヤク • promise, approximately, shrink"
477,"② 勇 • いさ.む, ユウ • courage, cheer up, be in high spirits, bravery, heroism"
478,"② 要 • い.る, ヨウ • need, main point, essence, pivot, key to"
479,"② 律 • レツ, リチ, リツ • rhythm, law, regulation, gauge, control"
480,"② 害 • ガイ • harm, injury"
481,"② 格 • ゴウ, キャク, コウ, カク • status, rank, capacity, character, case (law, grammar)"
482,"② 恐 • こわ.がる, こわ.い, おそ.ろしい, おそ.る, おそ.れる, キョウ • fear, dread, awe"
483,"② 胸 • むな-, むね, キョウ • bosom, breast, chest, heart, feelings"
484,"② 訓 • くん.ずる, よ.む, おし.える, キン, クン • instruction, Japanese character reading, explanation, read"
485,"② 軒 • のき, ケン • flats, counter for houses, eaves"
486,"② 個 • カ, コ • individual, counter for articles"
487,"② 候 • そうろう, コウ • climate, season, weather"
488,"② 耕 • たがや.す, コウ • till, plow, cultivate"
489,"② 航 • コウ • navigate, sail, cruise, fly"
490,"② 降 • くだ.す, くだ.る, ふ.り, ふ.る, お.ろす, お.りる, ゴ, コウ • descend, precipitate, fall, surrender"
491,"② 骨 • ほね, コツ • skeleton, bone, remains, frame"
492,"② 差 • さ.し, さ.す, サ • distinction, difference, variation, discrepancy, margin, balance"
493,"② 座 • すわ.る, ザ • squat, seat, cushion, gathering, sit"
494,"② 財 • たから, ゾク, サイ, ザイ • property, money, wealth, assets"
495,"② 殺 • そ.ぐ, -ごろ.し, ころ.す, セツ, サイ, サツ • kill, murder, butcher, slice off, split, diminish, reduce, spoil"
496,"② 師 • なら.う, もろもろ, ス, シ • expert, teacher, master, model, exemplar, army (incl. counter), war"
497,"② 脂 • あぶら, シ • fat, grease, tallow, lard, rosin, gum, tar"
498,"② 純 • ジュン • genuine, purity, innocence, net (profit)"
499,"② 除 • -よ.け, のぞ.く, ジ, ジョ • exclude, division (x/3), remove, abolish, cancel, except"
500,"② 将 • もって, ひきい.る, まさ, はた, まさ.に, ソウ, ショウ • leader, commander, general, admiral, or, and again, soon, from now on, just about"
501,"② 笑 • え.む, わら.う, ショウ • laugh"
502,"② 針 • はり, シン • needle, pin, staple, stinger"
503,"② 隻 • セキ • vessels, counter for ships, fish, birds, arrows, one of a pair"
504,"② 席 • むしろ, セキ • seat, mat, occasion, place"
505,"② 捜 • さが.す, シュウ, シュ, ソウ • search, look for, locate"
506,"② 造 • -づく.り, つく.り, つく.る, ゾウ • create, make, structure, physique"
507,"② 孫 • まご, ソン • grandchild, descendants"
508,"② 値 • あたい, ね, チ • price, cost, value"
509,"② 恥 • は.ずかしい, は.じらう, はじ, は.じる, チ • shame, dishonor"
510,"② 畜 • チク • livestock, domestic fowl and animals"
511,"② 徒 • あだ, いたずら, ト • junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people"
512,"② 途 • みち, ト • route, way, road"
513,"② 倒 • たお.す, -だお.れ, たお.れる, トウ • overthrow, fall, collapse, drop, break down"
514,"② 党 • むら, なかま, トウ • party, faction, clique"
515,"② 凍 • し.みる, い.てる, こご.る, こご.える, こお.る, トウ • frozen, congeal, refrigerate"
516,"② 悩 • なやみ, なや.ましい, なや.ます, なや.む, ノウ • trouble, worry, in pain, distress, illness"
517,"② 破 • やぶ.れる, やぶ.る, ハ • rend, rip, tear, break, destroy, defeat, frustrate"
518,"② 般 • ハン • carrier, carry, all"
519,"② 疲 • つか.らす, -づか.れ, つか.れる, ヒ • exhausted, tire, weary"
520,"② 被 • かぶ.せる, かぶ.る, おお.う, こうむ.る, ヒ • incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving"
521,"② 浮 • う.かべる, む, う.かぶ, う.かれる, う.く, フ • floating, float, rise to surface"
522,"② 粉 • こな, こ, デシメートル, フン • flour, powder, dust"
523,"② 捕 • つか.まる, つか.まえる, とら.われる, とら.える, と.る, と.らわれる, と.らえる, ホ • catch, capture"
524,"② 埋 • い.ける, うず.まる, うず.める, う.もれる, う.まる, う.める, マイ • bury, be filled up, embedded"
525,"② 眠 • ねむ.い, ねむ.る, ミン • sleep, die, sleepy"
526,"② 娘 • こ, むすめ, ジョウ • daughter, girl"
527,"② 容 • い.れる, ヨウ • contain, form, looks"
528,"② 浴 • あ.びせる, あ.びる, ヨク • bathe, be favored with, bask in"
529,"② 涙 • なみだ, レイ, ルイ • tears, sympathy"
530,"② 恋 • こい.しい, こい, こ.う, レン • romance, in love, yearn for, miss, darling"
531,"② 連 • -づ.れ, つ.れる, つら.ねる, つら.なる, レン • take along, lead, join, connect, party, gang, clique"
532,"② 移 • うつ.す, うつ.る, イ • shift, move, change, drift, catch (cold, fire), pass into"
533,"② 域 • イキ • range, region, limits, stage, level"
534,"② 液 • エキ • fluid, liquid, juice, sap, secretion"
535,"② 菓 • カ • candy, cakes, fruit"
536,"② 貨 • たから, カ • freight, goods, property"
537,"② 械 • かせ, カイ • contraption, fetter, machine, instrument"
538,"② 掛 • -がかり, かかり, -が.かり, か.かり, -が.かる, -か.かる, か.かる, -が.け, -か.け, か.け, -か.ける, か.ける, ケイ, カイ • hang, suspend, depend, arrive at, tax, pour"
539,"② 乾 • いぬい, ひ.る, ほ.す, かわ.かす, かわ.く, ケン, カン • drought, dry, dessicate, drink up, heaven, emperor"
540,"② 患 • わずら.う, カン • afflicted, disease, suffer from, be ill"
541,"② 寄 • よ.せる, -よ.り, よ.る, キ • draw near, stop in, bring near, gather, collect, send, forward"
542,"② 規 • キ • standard, measure"
543,"② 許 • もと, ゆる.す, キョ • permit, approve"
544,"② 偶 • たま, グウ • accidentally, even number, couple, man & wife, same kind"
545,"② 掘 • ほ.る, クツ • dig, delve, excavate"
546,"② 経 • のり, はか.る, たていと, た.つ, へ.る, キョウ, ケイ • sutra, longitude, pass thru, expire, warp"
547,"② 険 • けわ.しい, ケン • precipitous, inaccessible place, impregnable position, steep place, sharp eyes"
548,"② 現 • うつ.つ, うつつ, あらわ.す, あらわ.れる, ゲン • present, existing, actual"
549,② 婚 • コン • marriage
550,"② 採 • と.る, サイ • pick, take, fetch, take up"
551,"② 済 • わた.る, わたし, な.す, すく.う, -す.ます, す.ます, す.まない, -ずみ, -ず.み, す.む, セイ, サイ • finish, come to an end, excusable, need not"
552,"② 菜 • な, サイ • vegetable, side dish, greens"
553,"② 産 • む.す, うぶ-, う.まれる, う.む, サン • products, bear, give birth, yield, childbirth, native, property"
554,"② 捨 • す.てる, シャ • discard, throw away, abandon, resign, reject, sacrifice"
555,"② 授 • さず.かる, さず.ける, ジュ • impart, instruct, grant, confer"
556,"② 紹 • ショウ • introduce, inherit, help"
557,"② 責 • せ.める, セキ • blame, condemn, censure"
558,"② 接 • つ.ぐ, ショウ, セツ • touch, contact, adjoin, piece together"
559,"② 設 • もう.ける, セツ • establishment, provision, prepare"
560,"② 掃 • は.く, シュ, ソウ • sweep, brush"
561,"② 窓 • けむだし, てんまど, まど, ス, ソウ • window, pane"
562,"② 袋 • ふくろ, ダイ, タイ • sack, bag, pouch"
563,"② 探 • さが.す, さぐ.る, タン • grope, search, look for"
564,"② 著 • いちじる.しい, あらわ.す, チャク, チョ • renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work"
565,"② 頂 • いただき, いただ.く, チョウ • place on the head, receive, top of head, top, summit, peak"
566,"② 停 • と.まる, と.める, テイ • halt, stopping"
567,"② 盗 • ぬす.み, ぬす.む, トウ • steal, rob, pilfer"
568,"② 得 • う.る, え.る, トク • gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit"
569,"② 軟 • やわ.らかい, やわ.らか, ナン • soft"
570,"② 猫 • ねこ, ビョウ • cat"
571,"② 脳 • のうずる, ドウ, ノウ • brain, memory"
572,"② 敗 • やぶ.れる, ハイ • failure, defeat, reversal"
573,"② 販 • ハン • marketing, sell, trade"
574,"② 貧 • まず.しい, ビン, ヒン • poverty, poor"
575,"② 瓶 • かめ, ビン • flower pot, bottle, vial, jar, jug, vat, urn"
576,"② 婦 • よめ, フ • lady, woman, wife, bride"
577,"② 符 • フ • token, sign, mark, tally, charm"
578,"② 副 • フク • vice-, duplicate, copy"
579,"② 閉 • た.てる, し.まる, し.める, と.ざす, と.じる, ヘイ • closed, shut"
580,"② 訪 • と.う, たず.ねる, おとず.れる, ホウ • call on, visit, look up, offer sympathy"
581,"② 務 • つと.める, ム • task, duties"
582,"② 郵 • ユウ • mail, stagecoach stop"
583,"② 欲 • ほ.しい, ほっ.する, ヨク • longing, covetousness, greed, passion, desire, craving"
584,"② 翌 • ヨク • the following, next"
585,"② 陸 • おか, ロク, リク • land, six"
586,"② 略 • りゃく.する, りゃく.す, はぶ.く, はか.る, はかりごと, おさ.める, おか.す, ほぼ, リャク • abbreviation, omission, outline, shorten, capture, plunder"
587,"② 粒 • つぶ, リュウ • grains, drop, counter for tiny particles"
588,"② 涼 • まことに, ひや.す, うす.い, すず.やか, すず.む, すず.しい, リョウ • refreshing, nice and cool"
589,"② 偉 • えら.い, イ • admirable, greatness, remarkable, conceited, famous, excellent"
590,"② 越 • -ご.え, こ.える, -ご.し, -こ.す, こ.す, オツ, エツ • surpass, cross over, move to, exceed, Vietnam"
591,"② 奥 • くま, おく.まる, オク, オウ • heart, interior"
592,"② 過 • よ.ぎる, あやま.ち, あやま.つ, す.ごす, -す.ぎ, -す.ぎる, す.ぎる, カ • overdo, exceed, go beyond, error"
593,"② 覚 • さと.る, さ.める, さ.ます, おぼ.える, カク • memorize, learn, remember, awake, sober up"
594,"② 割 • さ.く, わ.れる, わ.り, わり, わ.る, カツ • proportion, comparatively, divide, cut, separate, split"
595,"② 換 • か.わる, -か.える, か.える, カン • interchange, period, change"
596,"② 喜 • よろこ.ばす, よろこ.ぶ, キ • rejoice, take pleasure in"
597,"② 幾 • いく.ら, いく.つ, いく-, キ • how many, how much, how far, how long"
598,"② 喫 • キツ • consume, eat, drink, smoke, receive (a blow)"
599,"② 給 • -たま.え, たも.う, たま.う, キュウ • salary, wage, gift, allow, grant, bestow on"
600,"② 隅 • すみ, グウ • corner, nook"
601,"② 敬 • うやま.う, キョウ, ケイ • awe, respect, honor, revere"
602,"② 景 • ケイ • scenery, view"
603,"② 減 • へ.らす, へ.る, ゲン • dwindle, decrease, reduce, decline, curtail, get hungry"
604,"② 雇 • やと.う, コ • employ, hire"
605,"② 御 • み-, お-, おん-, ゴ, ギョ • honorable, manipulate, govern"
606,"② 硬 • かた.い, コウ • stiff, hard"
607,"② 最 • つま, もっと.も, シュ, サイ • utmost, most, extreme"
608,"② 散 • ばら, ち.らかる, ち.らかす, -ち.らす, ち.らす, ち.る, サン • scatter, disperse, spend, squander"
609,"② 詞 • シ • part of speech, words, poetry"
610,"② 湿 • うるお.す, うるお.う, しめ.す, しめ.る, シュウ, シツ • damp, wet, moist"
611,"② 順 • ジュン • obey, order, turn, right, docility, occasion"
612,"② 象 • かたど.る, ゾウ, ショウ • elephant, pattern after, imitate, image, shape, sign (of the times)"
613,"② 畳 • かさ.なる, たたみ, たた.む, チョウ, ジョウ • tatami mat, counter for tatami mats, fold, shut up, do away with"
614,"② 税 • ゼイ • tax, duty"
615,"② 絶 • た.つ, た.やす, た.える, ゼツ • discontinue, beyond, sever, cut off, abstain, interrupt, suppress"
616,"② 装 • よそお.い, よそお.う, ショウ, ソウ • attire, dress, pretend, disguise, profess"
617,"② 測 • はか.る, ソク • fathom, plan, scheme, measure"
618,"② 尊 • とうと.ぶ, たっと.ぶ, とうと.い, たっと.い, ソン • revered, valuable, precious, noble, exalted"
619,"② 替 • か.わる, か.え-, か.える, タイ • exchange, spare, substitute, per-"
620,"② 達 • -たち, ダ, タツ • accomplished, reach, arrive, attain"
621,"② 遅 • おそ.い, おく.らす, おく.れる, チ • slow, late, back, later"
622,"② 貯 • たくわ.える, た.める, チョ • savings, store, lay in, keep, wear mustache"
623,"② 超 • こ.す, こ.える, チョウ • transcend, super-, ultra-"
624,"② 痛 • いた.める, いた.ましい, いた.む, いた.い, ツウ • pain, hurt, damage, bruise"
625,"② 程 • -ほど, ほど, テイ • extent, degree, law, formula, distance, limits, amount"
626,"② 渡 • わた.す, -わた.る, わた.る, ト • transit, ford, ferry, cross, import, deliver, diameter, migrate"
627,"② 塔 • トウ • pagoda, tower, steeple"
628,"② 筒 • つつ, トウ • cylinder, pipe, tube, gun barrel, sleeve"
629,"② 鈍 • なまく.ら, なま.る, にぶ-, にぶ.る, にぶ.い, ドン • dull, slow, foolish, blunt"
630,"② 晩 • バン • nightfall, night"
631,"② 備 • つぶさ.に, そな.わる, そな.える, ビ • equip, provision, preparation"
632,"② 富 • とみ, と.む, フウ, フ • wealth, enrich, abundant"
633,"② 普 • あまねし, あまね.く, フ • universal, wide(ly), generally, Prussia"
634,"② 復 • また, フク • restore, return to, revert, resume"
635,"② 幅 • はば, フク • hanging scroll, width"
636,"② 補 • おぎな.う, ホ • supplement, supply, make good, offset, compensate, assistant, learner"
637,"② 募 • つの.る, ボ • recruit, campaign, gather (contributions), enlist, grow violent"
638,"② 報 • むく.いる, ホウ • report, news, reward, retribution"
639,"② 帽 • おお.う, ずきん, モウ, ボウ • cap, headgear"
640,"② 棒 • ボウ • rod, stick, cane, pole, club, line"
641,"② 絡 • から.まる, から.む, ラク • entwine, coil around, get caught in"
642,"② 湾 • いりえ, ワン • gulf, bay, inlet"
643,"② 腕 • うで, ワン • arm, ability, talent"
644,"② 愛 • いと.しい, アイ • love, affection, favourite"
645,"② 違 • たが.える, たが.う, -ちが.える, ちが.える, ちが.い, ちが.う, イ • difference, differ"
646,"② 煙 • けむ.い, けむり, けむ.る, エン • smoke"
647,"② 塩 • しお, エン • salt"
648,"② 解 • さと.る, わか.る, ほど.ける, ほど.く, と.ける, と.かす, と.く, ゲ, カイ • unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute"
649,"② 詰 • つ.む, つ.まる, -づ.め, つ.め, つ.める, キチ, キツ • packed, close, pressed, reprove, rebuke, blame"
650,"② 極 • き.まる, -ぎ.め, き.める, きわ.み, きわ.まり, きわ.まる, きわ.める, ゴク, キョク • poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48"
651,"② 靴 • くつ, カ • shoes"
652,"② 群 • むら.がる, むら, む.れ, む.れる, グン • flock, group, crowd, herd, swarm, cluster"
653,"② 傾 • かし.げる, かた.げる, かたぶ.く, かたむ.ける, かたむ.く, ケイ • lean, incline, tilt, trend, wane, sink, ruin, bias"
654,"② 鉱 • あらがね, コウ • mineral, ore"
655,"② 腰 • こし, ヨウ • loins, hips, waist, low wainscoting"
656,"② 歳 • よわい, とせ, とし, セイ, サイ • year-end, age, occasion, opportunity"
657,"② 罪 • つみ, ザイ • guilt, sin, crime, fault, blame, offense"
658,"② 資 • シ • assets, resources, capital, funds, data, be conducive to, contribute to"
659,"② 辞 • いな.む, や.める, ジ • resign, word, term, expression"
660,"② 署 • ショ • signature, govt office, police station"
661,"② 照 • て.れる, て.らす, て.る, ショウ • illuminate, shine, compare, bashful"
662,"② 蒸 • む.らす, む.れる, む.す, セイ, ジョウ • steam, heat, sultry, foment, get musty"
663,"② 触 • さわ, さわ.る, ふ.れる, ショク • contact, touch, feel, hit, proclaim, announce, conflict"
664,"② 寝 • や.める, みたまや, い.ぬ, ね.かす, ね.る, シン • lie down, sleep, rest, bed, remain unsold"
665,"② 跡 • あと, セキ • tracks, mark, print, impression"
666,"② 戦 • わなな.く, そよぐ, おのの.く, たたか.う, いくさ, セン • war, battle, match"
667,"② 続 • つぐ.ない, つづ.ける, つづ.く, キョウ, コウ, ショク, ゾク • continue, series, sequel"
668,"② 損 • -そこ.ねる, そこ.ねる, -そこ.なう, そこな.う, そこ.なう, ソン • damage, loss, disadvantage, hurt, injure"
669,"② 置 • -お.き, お.く, チ • placement, put, set, deposit, leave behind, keep, employ, pawn"
670,"② 殿 • -どの, との, テン, デン • Mr., hall, mansion, palace, temple, lord"
671,"② 塗 • まみ.れる, ぬ.り, ぬ.る, ト • paint, plaster, daub, smear, coating"
672,"② 働 • はたら.く, リョク, ロク, リキ, リュク, ドウ • work, (kokuji)"
673,"② 腹 • はら, フク • abdomen, belly, stomach"
674,"② 豊 • とよ, ゆた.か, ブ, ホウ • bountiful, excellent, rich"
675,"② 夢 • くら.い, ゆめ.みる, ゆめ, ボウ, ム • dream, vision, illusion"
676,"② 預 • あず.かる, あず.ける, ヨ • deposit, custody, leave with, entrust to"
677,"② 溶 • と.く, と.かす, と.ける, ヨウ • melt, dissolve, thaw"
678,"② 裏 • うら, リ • back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side"
679,"② 零 • こぼ.れる, こぼ.す, ぜろ, レイ • zero, spill, overflow, nothing, cipher"
680,"② 演 • エン • performance, act, play, render, stage"
681,"② 慣 • な.らす, な.れる, カン • accustomed, get used to, become experienced"
682,"② 管 • くだ, カン • pipe, tube, wind instrument, drunken talk"
683,"② 関 • かんぬき, からくり, かか.わる, -ぜき, せき, カン • connection, barrier, gateway, involve, concerning"
684,"② 疑 • うたが.う, ギ • doubt, distrust, be suspicious, question"
685,"② 漁 • あさ.る, リョウ, ギョ • fishing, fishery"
686,"② 境 • さかい, ケイ, キョウ • boundary, border, region"
