Freq. Rank,Lexeme,Standard Orthography,Standard Reading,Meaning
6661,書き,書き,かく,
6712,紀,紀,き,
6735,閣,閣,かく,
6823,補,補,ほ,
6957,浴,浴,よく,
7069,郎,郎,ろう,
7069,インチ,インチ,いんち,
7095,調,調,ちょう,
7112,卒,卒,そつ,
7260,周年,周年,しゅうねん,
7356,掛け,かけ,かけ,
7405,升,升,しょう,
7544,紛れ,まぎれ,まぎれ,
7544,球,球,きゅう,
7577,垂れ,垂れ,たれ,
7643,マイル,マイル,まいる,
7769,アール,アール,あーる,
7821,符,符,ふ,
7847,受,受,うけ,
7908,騎,騎,き,
7932,キロカロリー,キロカロリー,きろかろりー,
7954,ミリグラム,ミリグラム,みりぐらむ,
8027,ポンド,ポンド,ぽんど,
8027,営,営,えい,
8052,漬け,漬け,つける,
8074,債,債,さい,
8102,丼,どんぶり,どんぶり,
8137,箇条,箇条,かじょう,
8279,労,労,ろう,
8341,メガバイト,メガバイト,めがばいと,
8515,交じり,まじり,まじり,
8515,遣い,遣い,つかい,
8552,がかる,がかる,がかる,
8676,亭,亭,てい,
8734,槽,槽,そう,
8833,圧,圧,あつ,
8891,寄り,寄り,より,
8948,守,守,（の）かみ,
8980,則,則,のり,
8980,ヘクタール,ヘクタール,へくたーる,
9026,把,把,わ,
9026,ばむ,ばむ,ばむ,
9026,揚げ,揚げ,あげる,
9065,打,打,だ,
9136,置き,置き,おく,
9327,陵,陵,りょう,
9369,入れ,入れ,いれる,
9548,錠,錠,じょう,
9548,給,給,きゅう,
9586,勝,勝,しょう,
9586,斑,ぶち,ぶち,
9666,属,属,ぞく,
9747,散,散,さん,
9786,考,考,こう,
9969,帽,帽,ぼう,
10007,中■中学校,中-中学校,ちゅう,
10055,乍ら,ながら,ながら,
10145,侯,侯,こう,
10194,廟,廟,びょう,
10324,停,停,てい,
10324,ギガ,ギガ,ぎが,
10715,敷,敷き,しき,
10715,墳,墳,ふん,
10763,箇年,カ年,かねん,
10763,進,進,しん,
11078,ウォン,ウォン,うぉん,
11251,がましい,がましい,がましい,
11251,聞き,聞き,きく,
11319,艘,艘,そう,
11319,ギガバイト,ギガバイト,ぎがばいと,
11642,問,問,もん,
11642,俵,俵,ひょう,
11707,狂,狂,きょう,
11707,語り,語り,かたり,
11823,囚,囚,しゅう,
11876,ワット,ワット,わっと,
11876,算,算,さん,
11940,研,研,けん,
12009,郭,郭,かく,
12071,価,価,か,
12470,フィート,フィート,ふぃーと,
12525,臭,臭,しゅう,
12685,眼,眼,がん,
12995,フラン,フラン,ふらん,
12995,斗,斗,,
13068,練,練,れん,
13226,馬力,馬力,ばりき,
13226,ｐｐｍ,ＰＰＭ,ぴーぴーえむ,
13391,腫,腫,しゅ,
13540,駄,駄,だ,
13540,献,献,こん,
13726,たん,たん,たん,
13805,季,季,き,
13805,秒間,秒間,びょうかん,
14244,議,議,ぎ,
14244,膏,膏,こう,
14720,回忌,回忌,かいき,
15032,敗,敗,はい,
15245,蒸し,蒸し,むし,
15245,捲り,まくり,まくり,
15365,見,見,み,
15365,監,監,かん,
15468,齣,コマ,こま,
15468,譚,譚,たん,
15574,りん,りん,りん,
15703,ぐるみ,ぐるみ,くるみ,
15831,協,協,きょう,
16211,ずく,ずく,ずく,
16211,っこい,っこい,っこい,
16211,吹き,吹き,ふく,
16211,伝い,伝い,つたい,
16211,キロワット,キロワット,きろわっと,
16474,紛い,まがい,まがい,
16474,渓,渓,けい,
16474,耐,耐,たい,
16617,認,認,にん,
16617,防,防,ぼう,
16743,規,規,き,
16867,厘,厘,りん,
17004,薯,薯,しょ,
17004,キロバイト,キロバイト,きろばいと,
17145,博,博,はく,
17306,委,委,い,
17306,斤,斤,きん,
17306,痘,痘,とう,
17493,海里,カイリ,かいり,
17493,伺い,うかがい,うかがい,
17632,ぽっち,ぽっち,ぽっち,
17632,炒め,炒め,いためる,
18084,飼い,飼い,かう,
18236,垂,垂,すい,
18424,セント,セント,せんと,
18424,河,河,が,
18601,齢,齢,れい,
18778,除け,よけ,よけ,
18778,ジュール,ジュール,じゅーる,
18951,孔,孔,こう,
18951,忌,忌,き,
19690,尽くめ,ずくめ,ずくめ,
19690,秘,秘,ひ,
19898,殺,殺,さつ,
19898,ピコ,ピコ,ぴこ,
20120,町歩,町歩,ちょうほ,
20120,煮,煮,に,
20120,めかす,めかす,めかす,
20298,シリング,シリング,しりんぐ,
20527,ダース,ダース,だーす,
20527,峡,峡,きょう,
20527,和え,あえ,あえ,
20744,織り,織り,おる,
20744,匁,匁,もんめ,
20744,廷,廷,てい,
20744,バイト,バイト,ばいと,
20979,坑,坑,こう,
21214,葬,葬,そう,
21439,メガビーピーエス,メガビーピーエス,めがびーぴーえす,
21660,がてら,がてら,がてら,
21660,輯,輯,しゅう,
21660,メガヘルツ,メガヘルツ,めがへるつ,
21880,刈り,刈り,がり,
21880,旒,＊,りゅう,
22135,塗れ,まみれ,まみれ,
22407,たらしい,たらしい,たらしい,
22407,箇村,,,
22657,搦め,からめ,からめる,
22657,盗,盗,とう,
22657,佐,佐,さ,
23216,尽くし,づくし,づくし,
23216,痕,痕,こん,
23216,バーレル,バーレル,ばーれる,
23482,窟,窟,くつ,
23772,厚,厚,あつ,
24074,キロリットル,キロリットル,きろりっとる,
24387,周忌,周忌,しゅうき,
24387,ナノメートル,ナノメートル,なのめーとる,
24717,気触れ,かぶれ,かぶれ,
25068,擬き,もどき,もどき,
25789,ギガヘルツ,ギガヘルツ,ぎがへるつ,
26152,叢,そう,そう,
26152,塊,塊,かい,
26152,帖,帖,じょう,
26152,ルピー,ルピー,るぴー,
26152,疹,疹,しん,
26152,ｋｂｐｓ,ＫＢＰＳ,,
26548,装,装,そう,
26548,マイクロメートル,マイクロメートル,,
26939,尋,ひろ,ひろ,
26939,巡,巡,じゅん,
26939,址,し,し,
27350,撃,撃,げき,
27798,チック,チック,ちっく,
28238,浪,浪,ろう,
28238,ガロン,ガロン,がろん,
28238,葺き,ふき,ふき,
28238,ルピア,ルピア,るぴあ,
28688,エーカー,エーカー,えーかー,
28688,免,免,めん,
28688,貫目,貫目,かんめ,
28688,飾,飾,しょく,
29169,有余,有余,ゆうよ,
29169,播,は,は,
29169,パーミル,パーミル,ぱーみる,
29169,植え,うえ,うえ,
29659,下ろし,卸,おろし,
30141,越え,越えする,ごえ,
30141,平米,平米,へいべい,
30722,織,織,しき,
30722,答,答,とう,
30722,桿,＊,かん,
30722,ペソ,ペソ,ぺそ,
30722,腔,腔,こう,
31286,堡,＊,ほ,
31286,巾,巾,きん,
31286,カラット,カラット,からっと,
31891,育,育,いく,
31891,纏い,まとい,まとい,
32501,饅,＊,まん,
32501,ショートトン,ショートトン,しょーととん,
32501,ヘクトパスカル,ヘクトパスカル,へくとぱすかる,
33119,倒し,倒し,たおし,
33119,瘡,そう,そう,
33119,平方メートル,平方メートル,へいほうめーとる,
33119,箇寺,箇寺,かじ,
33770,檣,＊,しょう,
33770,胞,胞,ほう,
34516,騙し,だまし,だまし,
34516,ミクロン,ミクロン,みくろん,
35236,訂,訂,てい,
36042,廠,廠,しょう,
36042,添え,添,そえ,
36042,オンス,オンス,おんす,
36042,グルデン,グルデン,ぐるでん,
36829,傑,傑,けつ,
36829,難み,,,
37694,刷,刷,さつ,
37694,響,響,きょう,
37694,光年,光年,こうねん,
37694,馬身,馬身,ばしん,
38630,舵,だ,だ,
39617,ばみ,,,
39617,鈔,＊,しょう,
41842,ペンス,ペンス,ぺんす,
41842,リラ,リラ,りら,
41842,キロヘルツ,キロヘルツ,きろへるつ,
43022,泣かせ,泣かせ,なかせ,
43022,伐,伐,ばつ,
43022,モル,盛る,もる,
44338,デシベル,デシベル,でしべる,
44338,こっきり,こっきり,こっきり,
44338,坡,は,は,
44338,叉,＊,さ,
45806,戯,戯,ぎ,
45806,キロトン,キロトン,きろとん,
45806,舗,舗,ほ,
45806,挽き,匹,ひき,
45806,舁き,夏季,かき,
45806,窩,＊,か,
47471,折り,おり,おり,
47471,デシ,弟子,でし,
47471,ギニー,ギニー,ぎにー,
47471,ミリシーベルト,ミリシーベルト,みりしーべると,
49232,択,たく,たく,
49232,しな,しな,しな,
49232,圃,圃,ほ,
49232,くんだり,くんだり,くんだり,
49232,ブラッチョ,ブラッチョ,,
49232,ギルダー,ギルダー,ぎるだー,
49232,テスラ,テスラ,てすら,
51227,トル,とる,とる,
51227,閾,＊,いき,
51227,リーブル,リーブル,りーぶる,
51227,汲み,組,くみ,
53646,ルクス,ルクス,るくす,
