Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
10,為る,する,する,to do
13,居る,いる,いる,
14,有る,ある,ある,
17,言う,いう,いう,
23,成る,なる,なる,
38,来る,来る,くる,
39,思う,思う,おもう,
41,行く,いく,いく,
44,見る,見る,みる,
46,出来る,できる,できる,
64,拠る,よる,よる,
79,仕舞う,しまう,しまう,
84,分かる,わかる,わかる,
85,持つ,持つ,もつ,
86,考える,考える,かんがえる,
91,遣る,やる,やる,
94,出る,出る,でる,
97,就く,つく,つく,
106,取る,とる,とる,
107,聞く,聞く,きく,
111,下さる,下さる,くださる,
113,知る,知る,しる,
116,呉れる,くれる,くれる,
120,入る,入る,はいる,
121,置く,置く／おく,おく,
122,使う,使う,つかう,
133,対する,対する,たいする,
142,於く,おく,おく,
143,出す,出す,だす,
153,作る,つくる,つくる,
159,行う,行う,おこなう,
162,知れる,知れる,しれる,
168,書く,書く,かく,
169,付ける,つける,つける,
175,貰う,もらう,もらう,
176,教える,教える,おしえる,
178,掛ける,かける,かける,
183,得る,得る,える,
196,見える,見える,みえる,
204,入れる,入れる,いれる,
214,受ける,受ける,うける,
224,付く,つく,つく,
232,違う,違う,ちがう,
233,始める,始める,はじめる,
234,呼ぶ,呼ぶ,よぶ,
236,上げる,あげる,あげる,
243,過ぎる,すぎる,すぎる,
255,感ずる,感ずる,かんずる,
257,続ける,続ける,つづける,
260,食べる,食べる,たべる,
279,掛かる,かかる,かかる,
283,変わる,変わる,かわる,
287,読む,読む,よむ,
291,買う,買う,かう,
296,生きる,生きる,いきる,
306,切る,切る,きる,
312,立つ,立つ,たつ,
323,帰る,帰る,かえる,
324,話す,話す,はなす,
336,飲む,飲む,のむ,
341,示す,示す,しめす,
345,関する,関する,かんする,
347,与える,与える,あたえる,
364,頂く,いただく,いただく,
368,戻る,戻る,もどる,
372,開く,開く,ひらく,
374,死ぬ,死ぬ,しぬ,
375,従う,従う,したがう,
377,止める,やめる,やめる,
378,願う,願う,ねがう,
387,歩く,歩く,あるく,
388,待つ,待つ,まつ,
394,求める,求める,もとめる,
416,認める,認める,みとめる,
417,会う,会う,あう,
423,続く,続く,つづく,
435,向かう,向かう,むかう,
437,生まれる,生まれる,うまれる,
444,見せる,見せる,みせる,
451,当たる,当たる,あたる,
452,終わる,終わる,おわる,
463,乗る,乗る,のる,
465,残る,残る,のこる,
470,述べる,述べる,のべる,
489,御座る,ござる,ござる,
491,立てる,立てる,たてる,
500,答える,答える,こたえる,
502,働く,働く,はたらく,
508,送る,送る,おくる,
509,始まる,始まる,はじまる,
519,含む,含む,ふくむ,
521,起こる,起こる,おこる,
523,関わる,かかわる,かかわる,
526,忘れる,忘れる,わすれる,
531,済む,すむ,すむ,
532,笑う,笑う,わらう,
537,為さる,なさる,なさる,
540,変える,変える,かえる,
543,引く,引く,ひく,
549,売る,売る,うる,
550,進む,進む,すすむ,
551,渡る,渡る,わたる,
553,選ぶ,選ぶ,えらぶ,
563,走る,走る,はしる,
567,現われる,現れる,あらわれる,
570,住む,住む,すむ,
592,伝える,伝える,つたえる,
593,動く,動く,うごく,
596,決める,決める,きめる,
605,勧める,勧める,すすめる,
607,気付く,気づく,きづく,
608,描く,描く,えがく,
617,覚える,覚える,おぼえる,
622,打つ,打つ,うつ,
631,成す,なす,なす,
642,開ける,開ける,あける,
648,向ける,向ける,むける,
650,殺す,殺す,ころす,
653,語る,語る,かたる,
654,信ずる,信ずる,しんずる,
662,合わせる,合わせる,あわせる,
669,用いる,用いる,もちいる,
673,連れる,連れる,つれる,
683,異なる,異なる,ことなる,
693,離れる,離れる,はなれる,
698,残す,残す,のこす,
699,探す,探す,さがす,
700,至る,至る,いたる,
702,経つ,経つ,たつ,
703,似る,似る,にる,
712,守る,守る,まもる,
714,困る,困る,こまる,
717,加える,加える,くわえる,
720,調べる,調べる,しらべる,
732,生ずる,生ずる,しょうずる,
733,驚く,驚く,おどろく,
739,失う,失う,うしなう,
741,合う,合う,あう,
742,無くなる,なくなる,なくなる,
743,増える,増える,ふえる,
751,上がる,上がる,あがる,
763,起きる,起きる,おきる,
764,座る,座る,すわる,
765,聞こえる,聞こえる,きこえる,
785,思い出す,思い出す,おもいだす,
786,許す,許す,ゆるす,
789,落ちる,落ちる,おちる,
794,繰り返す,繰り返す,くりかえす,
802,回る,回る,まわる,
803,起こす,起こす,おこす,
825,通ずる,通ずる,つうずる,
827,決まる,決まる,きまる,
828,寝る,寝る,ねる,
828,比べる,比べる,くらべる,
831,限る,限る,かぎる,
837,振る,降る,ふる,
848,表わす,表す,あらわす,
851,通す,通す,とおす,
862,致す,いたす,いたす,
865,基づく,基づく,もとづく,
870,消える,消える,きえる,
876,尋ねる,尋ねる,たずねる,
894,見付ける,見つける,みつける,
897,触れる,触れる,ふれる,
911,払う,払う,はらう,
912,遊ぶ,遊ぶ,あそぶ,
914,頼む,頼む,たのむ,
919,頑張る,頑張る,がんばる,
924,抱く,抱く,いだく,
932,楽しむ,楽しむ,たのしむ,
946,流れる,流れる,ながれる,
957,捨てる,捨てる,すてる,
960,着る,着る,きる,
978,迎える,迎える,むかえる,
986,取れる,とれる,とれる,
1012,押す,押す,おす,
1016,超える,超える,こえる,
1044,並ぶ,並ぶ,ならぶ,
1046,定める,定める,さだめる,
1047,学ぶ,学ぶ,まなぶ,
1074,頷く,うなずく,うなずく,
1079,通る,通る,とおる,
1083,運ぶ,運ぶ,はこぶ,
1087,伴う,伴う,ともなう,
1088,広がる,広がる,ひろがる,
1093,付き合う,付き合う,つきあう,
1095,泣く,泣く,なく,
1097,進める,進める,すすめる,
1106,繋がる,つながる,つながる,
1115,挙げる,あげる,あげる,
1116,捉える,とらえる,とらえる,
1119,見詰める,見つめる,みつめる,
1125,喜ぶ,喜ぶ,よろこぶ,
1128,避ける,避ける,さける,
1149,応ずる,応ずる,おうずる,
1154,届く,届く,とどく,
1154,近付く,近づく,ちかづく,
1163,集まる,集まる,あつまる,
1166,いらっしゃる,いらっしゃる,いらっしゃる,
1185,出掛ける,出かける,でかける,
1188,眺める,眺める,ながめる,
1198,張る,張る／貼る,はる,
1201,含める,含める,ふくめる,
1208,目指す,目指す,めざす,
1219,愛する,愛する,あいする,
1222,隠す,隠す,かくす,
1224,集める,集める,あつめる,
1224,食う,食う,くう,
1231,飛ぶ,飛ぶ,とぶ,
1252,齎す,もたらす,もたらす,
1253,叫ぶ,叫ぶ,さけぶ,
1256,逃げる,逃げる,にげる,
1258,抜く,抜く,ぬく,
1267,落とす,落とす,おとす,
1278,暮らす,暮らす,くらす,
1282,降りる,降りる,おりる,
1285,果たす,果たす,はたす,
1291,記す,記す,しるす,
1292,生む,生む,うむ,
1294,問う,問う,とう,
1308,止まる,止まる,とまる,
1309,掴む,つかむ,つかむ,
1310,返す,返す,かえす,
1312,過ごす,過ごす,すごす,
1314,追う,追う,おう,
1321,扱う,扱う,あつかう,
1327,眠る,眠る,ねむる,
1329,及ぶ,及ぶ,およぶ,
1343,怒る,怒る,おこる,
1351,要する,要する,ようする,
1353,結ぶ,結ぶ,むすぶ,
1377,図る,図る,はかる,
1388,歌う,うたう,うたう,
1391,乗せる,乗せる,のせる,
1399,申す,申す,もうす,
1404,支える,支える,ささえる,
1408,黙る,黙る,だまる,
1419,受け取る,受け取る,うけとる,
1421,抱える,抱える,かかえる,
1424,叩く,たたく,たたく,
1433,渡す,渡す,わたす,
1452,育てる,育てる,そだてる,
1455,借りる,借りる,かりる,
1468,受け入れる,受け入れる,うけいれる,
1470,動かす,動かす,うごかす,
1475,分ける,分ける,わける,
1476,立ち上がる,立ち上がる,たちあがる,
1477,訪れる,訪れる,おとずれる,
1478,当てる,充てる,あてる,
1484,巡る,めぐる,めぐる,
1488,焼く,焼く,やく,
1490,伸ばす,伸ばす,のばす,
1494,出会う,出会う,であう,
1495,助ける,助ける,たすける,
1495,望む,望む,のぞむ,
1502,通う,通う,かよう,
1514,見付かる,見つかる,みつかる,
1550,上る,上る,のぼる,
1553,亡くなる,なくなる,なくなる,
1557,落ち着く,落ち着く,おちつく,
1558,纏める,まとめる,まとめる,
1561,抜ける,抜ける,ぬける,
1561,取り上げる,取り上げる,とりあげる,
1580,構う,構う,かまう,
1584,戦う,戦う,たたかう,
1585,達する,達する,たっする,
1589,悩む,悩む,なやむ,
1591,洗う,洗う,あらう,
1600,疲れる,疲れる,つかれる,
1601,着く,着く,つく,
1605,喋る,しゃべる,しゃべる,
1608,慣れる,なれる,なれる,
1612,流す,流す,ながす,
1617,握る,握る,にぎる,
1619,減る,減る,へる,
1625,下げる,下げる,さげる,
1638,占める,占める,しめる,
1640,優れる,優れる,すぐれる,
1644,包む,包む,つつむ,
1646,吐く,吐く,はく,
1647,消す,消す,けす,
1652,覗く,のぞく,のぞく,
1655,勝つ,勝つ,かつ,
1656,浮かぶ,浮かぶ,うかぶ,
1672,去る,去る,さる,
1688,回す,回す,まわす,
1697,除く,除く,のぞく,
1707,育つ,育つ,そだつ,
1714,終える,終える,おえる,
1717,外す,外す,はずす,
1748,呟く,つぶやく,つぶやく,
1751,向く,向く,むく,
1753,負ける,負ける,まける,
1762,要る,いる,いる,
1775,恐れる,恐れる,おそれる,
1784,直す,直す,なおす,
1786,設ける,設ける,もうける,
1788,支払う,支払う,しはらう,
1788,迫る,迫る,せまる,
1792,経る,経る,へる,
1802,振り返る,振り返る,ふりかえる,
1809,断る,断る,ことわる,
1816,誘う,誘う,さそう,
1816,越える,越える,こえる,
1824,取り出す,取り出す,とりだす,
1825,急ぐ,急ぐ,いそぐ,
1829,慌てる,あわてる,あわてる,
1829,訴える,訴える,うったえる,
1829,命ずる,命ずる,めいずる,
1835,有する,有する,ゆうする,
1840,別れる,分かれる,わかれる,
1846,伝わる,伝わる,つたわる,
1865,参る,まいる,まいる,
1872,尽くす,尽くす,つくす,
1874,移る,移る,うつる,
1874,告げる,告げる,つげる,
1878,仰る,おっしゃる,おっしゃる,
1884,詰まる,詰まる,つまる,
1897,下ろす,下ろす,おろす,
1900,広げる,広げる,ひろげる,
1912,任せる,任せる,まかせる,
1928,掻く,かく,かく,
1947,戻す,戻す,もどす,
1949,休む,休む,やすむ,
1954,遅れる,遅れる,おくれる,
1962,重ねる,重ねる,かさねる,
1964,足りる,足りる,たりる,
1964,見なす,見なす,みなす,
1982,間違う,間違う,まちがう,
1982,閉じる,閉じる,とじる,
1987,保つ,保つ,たもつ,
1993,吸う,吸う,すう,
2008,諦める,あきらめる,あきらめる,
2008,耐える,耐える,たえる,
2010,訪ねる,訪ねる,たずねる,
2017,生かす,生かす,いかす,
2019,下がる,下がる,さがる,
2030,確かめる,確かめる,たしかめる,
2045,鳴る,鳴る,なる,
2050,目立つ,目立つ,めだつ,
2055,掲げる,掲げる,かかげる,
2061,移す,移す,うつす,
2062,並べる,並べる,ならべる,
2067,高める,高める,たかめる,
2069,奪う,奪う,うばう,
2074,被る,こうむる,こうむる,
2077,疑う,疑う,うたがう,
2086,履く,履く,はく,
2089,生み出す,生み出す,うみだす,
2093,迷う,迷う,まよう,
2098,襲う,襲う,おそう,
2102,発する,発する,はっする,
2106,挟む,はさむ,はさむ,
2109,登る,上る,のぼる,
2110,属する,属する,ぞくする,
2112,繋ぐ,つなぐ,つなぐ,
2125,降る,降る,ふる,
2126,組む,組む,くむ,
2139,取り組む,取り組む,とりくむ,
2141,負う,負う,おう,
2149,載る,載る,のる,
2154,倒れる,倒れる,たおれる,
2171,撮る,撮る,とる,
2171,響く,響く,ひびく,
2181,応える,応える,こたえる,
2191,留まる,止まる,とまる,
2192,指す,さす,さす,
2214,接する,接する,せっする,
2225,狙う,狙う,ねらう,
2239,救う,救う,すくう,
2251,満たす,満たす,みたす,
2256,伸びる,伸びる,のびる,
2272,説く,説く,とく,
2273,貸す,貸す,かす,
2276,加わる,加わる,くわわる,
2276,絶える,絶える,たえる,
2295,覆う,覆う,おおう,
2295,務める,務める,つとめる,
2305,利く,利く,きく,
2311,分かれる,分かれる,わかれる,
2319,下る,下る,くだる,
2329,止む,やむ,やむ,
2329,見掛ける,見かける,みかける,
2334,窺う,うかがう,うかがう,
2337,輝く,輝く,かがやく,
2343,招く,招く,まねく,
2379,寄せる,寄せる,よせる,
2384,抑える,抑える,おさえる,
2384,沿う,沿う,そう,
2394,溢れる,あふれる,あふれる,
2401,空く,すく,すく,
2408,光る,光る,ひかる,
2411,称する,称する,しょうする,
2417,促す,促す,うながす,
2419,込める,込める,こめる,
2420,存ずる,存ずる,ぞんずる,
2420,囲む,囲む,かこむ,
2437,塗る,塗る,ぬる,
2437,防ぐ,防ぐ,ふせぐ,
2439,論ずる,論ずる,ろんずる,
2443,押さえる,抑える,おさえる,
2447,注ぐ,注ぐ,そそぐ,
2459,引っ張る,引っ張る,ひっぱる,
2469,切れる,切れる,きれる,
2474,陥る,陥る,おちいる,
2486,数える,数える,かぞえる,
2498,隠れる,隠れる,かくれる,
2501,咲く,咲く,さく,
2505,高まる,高まる,たかまる,
2529,備える,備える,そなえる,
2529,作り出す,作り出す,つくりだす,
2533,見出だす,見いだす,みいだす,
2533,浮かべる,浮かべる,うかべる,
2537,申し上げる,申し上げる,もうしあげる,
2542,寄る,寄る,よる,
2542,味わう,味わう,あじわう,
2554,叱る,しかる,しかる,
2558,辞める,やめる,やめる,
2567,整える,整える,ととのえる,
2588,増す,増す,ます,
2594,震える,震える,ふるえる,
2596,代わる,代わる,かわる,
2601,辿る,たどる,たどる,
2604,試す,試す,ためす,
2613,吹く,吹く,ふく,
2613,好む,好む,このむ,
2618,踊る,踊る,おどる,
2632,巻く,巻く,まく,
2637,積む,積む,つむ,
2640,増やす,増やす,ふやす,
2656,痩せる,やせる,やせる,
2675,飾る,飾る,かざる,
2676,飼う,飼う,かう,
2676,揃う,そろう,そろう,
2681,噛む,かむ,かむ,
2689,堪る,たまる,たまる,
2699,測る,測る,はかる,
2707,頼る,頼る,たよる,
2730,嫌う,嫌う,きらう,
2735,治る,治る,なおる,
2740,探る,探る,さぐる,
2752,満ちる,満ちる,みちる,
2754,映る,映る,うつる,
2755,踏む,踏む,ふむ,
2758,突く,つく,つく,
2764,触る,触る,さわる,
2775,遭う,あう,あう,
2784,溜まる,たまる,たまる,
2790,泊まる,泊まる,とまる,
2801,交ぜる,混ぜる,まぜる,
2805,飛び出す,飛び出す,とびだす,
2816,埋める,埋める,うめる,
2822,褒める,ほめる,ほめる,
2827,収める,収める,おさめる,
2843,見上げる,見上げる,みあげる,
2858,晒す,さらす,さらす,
2863,放つ,放つ,はなつ,
2873,勤める,勤める,つとめる,
2875,解く,解く,とく,
2877,浴びる,浴びる,あびる,
2880,成り立つ,成り立つ,なりたつ,
2886,拭く,ふく,ふく,
2886,漂う,漂う,ただよう,
2889,苦しむ,苦しむ,くるしむ,
2889,犯す,犯す,おかす,
2892,築く,築く,きずく,
2903,結び付く,結びつく,むすびつく,
2912,交わす,交わす,かわす,
2923,反する,反する,はんする,
2927,話し合う,話し合う,はなしあう,
2927,担う,担う,になう,
2940,導く,導く,みちびく,
2949,無くす,なくす,なくす,
2950,引き受ける,引き受ける,ひきうける,
2952,次ぐ,次ぐ,つぐ,
2958,壊れる,壊れる,こわれる,
2961,放る,放る,ほうる,
2961,敷く,敷く,しく,
2968,差し出す,差し出す,さしだす,
2968,受け止める,受け止める,うけとめる,
2982,下す,下す,くだす,
2987,試みる,試みる,こころみる,
2996,載せる,載せる,のせる,
3006,太る,太る,ふとる,
3009,効く,効く,きく,
3009,唱える,唱える,となえる,
3009,造る,つくる,つくる,
3016,伺う,うかがう,うかがう,
3016,揺れる,揺れる,ゆれる,
3033,預ける,預ける,あずける,
3055,捲る,めくる,めくる,
3055,取り戻す,取り戻す,とりもどす,
3055,引き上げる,引き上げる,ひきあげる,
3065,役立つ,役立つ,やくだつ,
3071,話し掛ける,話しかける,はなしかける,
3075,出でる,出でる,いでる,
3086,燃える,燃える,もえる,
3086,出来上がる,出来上がる,できあがる,
3093,飛び込む,飛び込む,とびこむ,
3099,絞る,絞る,しぼる,
3102,脱ぐ,ぬぐ,ぬぐ,
3110,離す,離す,はなす,
3110,生える,生える,はえる,
3117,濡れる,ぬれる,ぬれる,
3117,返る,返る,かえる,
3153,持ち込む,持ち込む,もちこむ,
3161,取り入れる,取り入れる,とりいれる,
3165,込む,込む,こむ,
3175,曲がる,曲がる,まがる,
3177,祈る,祈る,いのる,
3187,投げる,投げる,なげる,
3193,稼ぐ,稼ぐ,かせぐ,
3202,押し付ける,押しつける,おしつける,
3212,剥く,むく,むく,
3224,吊る,つる,つる,
3224,崩れる,崩れる,くずれる,
3237,湧く,湧く,わく,
3258,外れる,外れる,はずれる,
3274,こだわる,こだわる,こだわる,
3282,構える,構える,かまえる,
3288,重なる,重なる,かさなる,
3303,汚れる,汚れる,よごれる,
3319,習う,習う,ならう,
3322,預かる,預かる,あずかる,
3322,引き起こす,引き起こす,ひきおこす,
3326,控える,控える,ひかえる,
3326,追い掛ける,追いかける,おいかける,
3331,嘗める,なめる,なめる,
3336,破る,破る,やぶる,
3357,殴る,殴る,なぐる,
3365,弾く,はじく,はじく,
3365,手伝う,手伝う,てつだう,
3365,及ぼす,及ぼす,およぼす,
3376,拾う,拾う,ひろう,
3376,騙す,だます,だます,
3385,思い切る,思い切る,おもいきる,
3392,引き出す,引き出す,ひきだす,
3395,差す,さす,さす,
3395,演ずる,演ずる,えんずる,
3399,逃れる,逃れる,のがれる,
3410,煮る,煮る,にる,
3418,揃える,そろえる,そろえる,
3428,熟す,こなす,こなす,
3433,突き込む,突き込む,つきこむ,
3442,微笑む,ほほ笑む,ほほえむ,
3446,欠ける,欠ける,かける,
3451,刺す,さす,さす,
3461,思い込む,思い込む,おもいこむ,
3469,届ける,届ける,とどける,
3469,際する,際する,さいする,
3475,減らす,減らす,へらす,
3483,背負う,背負う,せおう,
3491,下りる,下りる,おりる,
3491,擦る,する,する,
3491,潜る,潜る,もぐる,
3511,譲る,譲る,ゆずる,
3514,漏らす,漏らす,もらす,
3534,泳ぐ,泳ぐ,およぐ,
3538,間違える,間違える,まちがえる,
3538,ぶつかる,ぶつかる,ぶつかる,
3549,浮く,浮く,うく,
3554,謝る,謝る,あやまる,
3554,思い付く,思いつく,おもいつく,
3558,沈む,沈む,しずむ,
3571,漏れる,漏れる,もれる,
3573,滑る,滑る,すべる,
3573,割る,割る,わる,
3580,入り込む,入り込む,はいりこむ,
3582,配る,配る,くばる,
3584,鳴く,鳴く,なく,
3587,駆る,駆る,かる,
3592,継ぐ,継ぐ,つぐ,
3598,籠もる,こもる,こもる,
3614,騒ぐ,騒ぐ,さわぐ,
3619,刻む,刻む,きざむ,
3631,留める,とどめる,とどめる,
3637,盗む,盗む,ぬすむ,
3637,詰める,詰める,つめる,
3662,膨らむ,膨らむ,ふくらむ,
3662,辿り着く,たどり着く,たどりつく,
3673,施す,施す,ほどこす,
3682,飲み込む,飲み込む,のみこむ,
3682,帯びる,帯びる,おびる,
3682,作り上げる,作り上げる,つくりあげる,
3692,照らす,照らす,てらす,
3700,名乗る,名乗る,なのる,
3703,名付ける,名付ける,なづける,
3707,磨く,磨く,みがく,
3707,解する,解する,かいする,
3711,添える,添える,そえる,
3715,見守る,見守る,みまもる,
3726,努める,努める,つとめる,
3733,助かる,助かる,たすかる,
3736,恵まれる,恵まれる,めぐまれる,
3739,見回す,見回す,みまわす,
3754,引き摺る,引きずる,ひきずる,
3767,率いる,率いる,ひきいる,
3770,改める,改める,あらためる,
3785,怒鳴る,怒鳴る,どなる,
3796,鳴らす,鳴らす,ならす,
3800,壊す,壊す,こわす,
3800,傷付ける,傷つける,きずつける,
3800,巻き込む,巻き込む,まきこむ,
3824,乗り込む,乗り込む,のりこむ,
3848,潰す,つぶす,つぶす,
3851,振るう,ふるう,ふるう,
3851,囁く,ささやく,ささやく,
3864,然り,しかり,しかり,
3868,傾ける,傾ける,かたむける,
3881,付け加える,付け加える,つけくわえる,
3886,蘇る,よみがえる,よみがえる,
3905,見張る,見張る,みはる,
3905,指差す,指さす,ゆびさす,
3913,遡る,さかのぼる,さかのぼる,
3929,乾く,乾く,かわく,
3933,足る,足る,たる,
3938,倒す,倒す,たおす,
3938,持ち出す,持ち出す,もちだす,
3949,引き取る,引き取る,ひきとる,
3949,狂う,狂う,くるう,
3956,仕える,仕える,つかえる,
3963,絡む,絡む,からむ,
3969,固める,固める,かためる,
3972,痛む,痛む,いたむ,
3972,踏まえる,踏まえる,ふまえる,
3972,振り向く,振り向く,ふりむく,
3981,係る,係る,かかる,
3987,果てる,果てる,はてる,
3995,炊く,たく,たく,
3995,覗き込む,のぞき込む,のぞきこむ,
4002,染みる,しみる,しみる,
4002,欠かす,欠かす,かかす,
4018,謳う,うたう,うたう,
4024,貫く,貫く,つらぬく,
4064,飽きる,飽きる,あきる,
4064,酔う,酔う,よう,
4070,さす,さす,さす,
4070,読み取る,読み取る,よみとる,
4091,取り込む,取り込む,とりこむ,
4096,閉める,閉める,しめる,
4107,蹴る,ける,ける,
4107,悟る,悟る,さとる,
4119,贈る,贈る,おくる,
4125,雇う,雇う,やとう,
4127,銜える,くわえる,くわえる,
4127,乗り出す,乗り出す,のりだす,
4134,呼び掛ける,呼びかける,よびかける,
4134,営む,営む,いとなむ,
4144,傷付く,傷つく,きずつく,
4156,溶ける,溶ける,とける,
4156,駆け付ける,駆けつける,かけつける,
4168,片付ける,片付ける,かたづける,
4168,治まる,治まる,おさまる,
4168,察する,察する,さっする,
4168,誤る,誤る,あやまる,
4193,睨む,にらむ,にらむ,
4198,整う,整う,ととのう,
4198,歩む,歩む,あゆむ,
4205,植える,植える,うえる,
4205,這う,はう,はう,
4205,争う,争う,あらそう,
4205,言い替える,言い換える,いいかえる,
4214,欠く,欠く,かく,
4231,焦る,焦る,あせる,
4236,削る,削る,けずる,
4244,茹でる,ゆでる,ゆでる,
4252,据える,据える,すえる,
4256,縛る,縛る,しばる,
4270,結び付ける,結びつける,むすびつける,
4281,誇る,誇る,ほこる,
4281,捧げる,ささげる,ささげる,
4298,掘る,掘る,ほる,
4298,祭る,まつる,まつる,
4306,締める,締める,しめる,
4306,裏切る,裏切る,うらぎる,
4306,取り付ける,取り付ける,とりつける,
4327,立ち止まる,立ち止まる,たちどまる,
4333,遂げる,遂げる,とげる,
4343,逃げ出す,逃げ出す,にげだす,
4343,温める,温める,あたためる,
4350,聞かす,聞かす,きかす,
4356,見下ろす,見下ろす,みおろす,
4361,間に合う,間に合う,まにあう,
4361,飛ばす,飛ばす,とばす,
4361,乗り越える,乗り越える,のりこえる,
4368,書き込む,書き込む,かきこむ,
4368,怯える,おびえる,おびえる,
4385,苛める,いじめる,いじめる,
4385,見送る,見送る,みおくる,
4399,似合う,似合う,にあう,
4399,呆れる,あきれる,あきれる,
4405,焼ける,焼ける,やける,
4428,引っ掛かる,ひっかかる,ひっかかる,
4439,治す,治す,なおす,
4444,建つ,建つ,たつ,
4450,冷める,さめる,さめる,
4479,流行る,はやる,はやる,
4479,落ち込む,落ち込む,おちこむ,
4493,劣る,劣る,おとる,
4493,取り除く,取り除く,とりのぞく,
4509,撫でる,なでる,なでる,
4509,免れる,免れる,まぬがれる,
4517,嵌まる,はまる,はまる,
4519,心掛ける,心がける,こころがける,
4519,課する,課する,かする,
4531,崩す,崩す,くずす,
4537,ばれる,ばれる,ばれる,
4537,明ける,明ける,あける,
4537,捕らえる,とらえる,とらえる,
4537,見直す,見直す,みなおす,
4567,面する,面する,めんする,
4592,呼び出す,呼び出す,よびだす,
4601,目覚める,目覚める,めざめる,
4601,取り扱う,取り扱う,とりあつかう,
4609,上回る,上回る,うわまわる,
4623,写る,写る,うつる,
4623,干す,干す,ほす,
4623,切り替える,切り替える,きりかえる,
4623,捕らわれる,とらわれる,とらわれる,
4636,適する,適する,てきする,
4646,越す,越す,こす,
4646,纏まる,まとまる,まとまる,
4646,禁ずる,禁ずる,きんずる,
4646,委ねる,ゆだねる,ゆだねる,
4659,採る,採る,とる,
4666,染める,初める,そめる,
4670,引き継ぐ,引き継ぐ,ひきつぐ,
4670,深める,深める,ふかめる,
4676,覚める,覚める,さめる,
4686,延びる,延びる,のびる,
4686,転がる,転がる,ころがる,
4718,補う,補う,おぎなう,
4718,潜める,ひそめる,ひそめる,
4730,給う,たまう,たまう,
4736,責める,責める,せめる,
4748,折れる,折れる,おれる,
4748,称える,たたえる,たたえる,
4771,折る,折る,おる,
4771,知り合う,知り合う,しりあう,
4771,打ち込む,打ち込む,うちこむ,
4771,持ち上げる,持ち上げる,もちあげる,
4771,励ます,励ます,はげます,
4784,潜む,潜む,ひそむ,
4820,摘む,つまむ,つまむ,
4826,固まる,固まる,かたまる,
4832,思い浮かべる,思い浮かべる,おもいうかべる,
4832,傾げる,かしげる,かしげる,
4844,盛り上がる,盛り上がる,もりあがる,
4844,転ずる,転ずる,てんずる,
4858,打ち明ける,打ち明ける,うちあける,
4858,組み合わせる,組み合わせる,くみあわせる,
4858,盛る,盛る,もる,
4866,撒く,まく,まく,
4866,鍛える,鍛える,きたえる,
4866,富む,富む,とむ,
4880,伏せる,伏せる,ふせる,
4891,見当たる,見当たる,みあたる,
4891,退ける,のける,のける,
4894,馴染む,なじむ,なじむ,
4901,攻める,攻める,せめる,
4914,見逃す,見逃す,みのがす,
4925,受け継ぐ,受け継ぐ,うけつぐ,
4935,冷やす,冷やす,ひやす,
4935,振り込む,振り込む,ふりこむ,
4949,晴れる,晴れる,はれる,
4958,訳す,訳す,やくす,
4967,生き残る,生き残る,いきのこる,
4974,尖る,とがる,とがる,
4985,叶う,かなう,かなう,
4997,退く,退く,しりぞく,
4997,臨む,臨む,のぞむ,
5007,浮かび上がる,浮かび上がる,うかびあがる,
5019,憎む,憎む,にくむ,
5023,強める,強める,つよめる,
5078,甘える,甘える,あまえる,
5078,強いる,強いる,しいる,
5086,散る,散る,ちる,
5086,曲げる,曲げる,まげる,
5105,浸かる,つかる,つかる,
5105,仕掛ける,仕掛ける,しかける,
5105,引き返す,引き返す,ひきかえす,
5105,横たわる,横たわる,よこたわる,
5114,見渡す,見渡す,みわたす,
5114,物語る,物語る,ものがたる,
5125,腐る,腐る,くさる,
5125,堪える,こらえる,こらえる,
5125,携わる,携わる,たずさわる,
5125,供える,供える,そなえる,
5138,尽きる,尽きる,つきる,
5165,向き合う,向き合う,むきあう,
5165,養う,養う,やしなう,
5184,嘆く,嘆く,なげく,
5195,拒む,拒む,こばむ,
5195,納める,納める,おさめる,
5195,思い掛ける,思い掛ける,おもいがける,
5206,断つ,断つ,たつ,
5206,抱き締める,抱きしめる,だきしめる,
5224,吸い込む,吸い込む,すいこむ,
5224,炒める,いためる,いためる,
5241,潰れる,つぶれる,つぶれる,
5241,追い付く,追いつく,おいつく,
5241,差し込む,差し込む,さしこむ,
5241,躊躇う,ためらう,ためらう,
5251,吐き出す,吐き出す,はきだす,
5259,近付ける,近づける,ちかづける,
5259,孵る,かえる,かえる,
5259,当て嵌まる,当てはまる,あてはまる,
5269,直る,直る,なおる,
5269,傾く,傾く,かたむく,
5269,遮る,さえぎる,さえぎる,
5280,明く,明く,あく,
5280,儲ける,もうける,もうける,
5291,化する,化する,かする,
5298,割れる,割れる,われる,
5308,ぶつける,ぶつける,ぶつける,
5308,乱れる,乱れる,みだれる,
5308,捻る,ひねる,ひねる,
5325,赴く,赴く,おもむく,
5341,託する,託する,たくする,
5357,振る舞う,振る舞う,ふるまう,
5369,見抜く,見抜く,みぬく,
5381,混じる,混じる,まじる,
5381,閉ざす,閉ざす,とざす,
5381,講ずる,講ずる,こうずる,
5389,踏み込む,踏み込む,ふみこむ,
5389,拭う,ぬぐう,ぬぐう,
5389,題する,題する,だいする,
5404,追い込む,追い込む,おいこむ,
