Freq. Rank,Lexeme,Standard Orthography,Standard Reading
59421,末恐ろしい,末恐ろしい,すえおそろしい
59421,焦げ臭い,焦げ臭い,こげくさい
59421,薄赤い,薄赤い,うすあかい
59421,願わしい,願わしい,ねがわしい
63094,極まり悪い,きまり悪い,きまりわるい
63094,欲深い,欲深い,よくふかい
63094,甘ちょろい,,
63094,いがらっぽい,いがらっぽい,いがらっぽい
63094,爺むさい,じじむさい,じじむさい
63094,くだくだしい,くだくだしい,くだくだしい
63094,手緩い,手ぬるい,てぬるい
63094,薄黒い,薄黒い,うすぐろい
63094,洒落臭い,しゃらくさい,しゃらくさい
63094,心弱い,心弱い,こころよわい
63094,口重い,口重い,くちおもい
63094,小憎らしい,小憎らしい,こにくらしい
63094,他し,空し,あだし
63094,むくつけし,,
63094,慈しみ深い,,
63094,はしこい,捷い,はしこい
63094,事々しい,ことごとしい,ことごとしい
67760,間遠い,間遠い,まどおい
67760,けばい,,
67760,奇麗か,,
67760,疎々しい,,
67760,まだるっこい,まだるっこい,まだるっこい
67760,拠所無い,よんどころない,よんどころない
67760,物凄まじい,ものすさまじい,ものすさまじい
67760,晴々しい,晴れ晴れしい,はればれしい
67760,重たるい,,
73941,ナウい,,
73941,薬臭い,,
73941,由無い,由ない,よしない
73941,口幅たい,,
73941,痛痒い,,
73941,糞暑い,,
73941,事新しい,こと新しい,ことあたらしい
73941,福々しい,福々しい,ふくぶくしい
73941,か黒い,か黒い,かぐろい
73941,舌たるい,,
82574,煙い,煙い,けむい
82574,くちい,くちい,くちい
82574,めんこい,めんこい,めんこい
82574,油臭い,,
82574,うら悲しい,うら悲しい,うらがなしい
82574,似合わしい,,
82574,へぼい,,
82574,土臭い,土くさい,つちくさい
82574,木暗い,こぐらい,こぐらい
82574,うら寂しい,うら寂しい,うらさびしい
82574,心嬉しい,心うれしい,こころうれしい
82574,饑い,ひだるい,ひだるい
82574,濫りがましい,,
